date,AAPL,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-04,0,100,100,100,0,0,83,0,-100,-100,0,0,0,0,0,1,0,0,100,0,-83,0,-100,0,0,-100,0,100
2022-04-05,0,100,100,100,0,0,8,0,-94,-100,0,0,0,0,0,1,0,0,100,0,0,0,-100,0,0,-100,0,100
2022-04-06,0,100,0,48,0,0,1,0,0,-100,0,0,0,0,0,0,0,0,100,0,0,0,-100,0,0,-100,0,100
2022-04-07,0,100,0,31,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,100,0,0,0,-100,0,0,-22,0,100
2022-04-08,0,100,-98,100,0,0,13,1,0,-100,0,0,0,0,0,0,0,0,100,0,0,0,-100,0,0,0,0,100
2022-04-11,0,100,-99,38,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,100,0,0,0,-11,0,0,0,0,100
2022-04-12,0,100,-100,31,0,0,1,0,0,-100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-04-13,0,38,-2,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-04-14,0,32,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-04-18,0,27,0,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2022-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-17,0,-866,0,-670,0,0,-206,-79,0,0,0,0,0,-317,0,-274,0,-100,-1059,0,0,-474,0,0,-684,0,0,-1000
2022-05-18,0,100,100,100,0,0,100,100,0,0,0,0,0,100,0,0,0,100,100,100,0,100,0,100,100,0,0,100
2022-05-19,0,-100,-100,-100,0,0,-100,-100,0,0,0,0,0,-100,0,0,0,-100,-100,-100,0,-100,0,-100,-100,0,0,-100
2022-05-20,0,100,100,100,0,0,100,100,0,0,0,0,0,100,0,0,0,100,100,100,0,100,0,100,100,0,0,100
2022-05-23,0,100,100,100,0,0,100,100,0,0,0,0,0,100,0,0,0,100,100,100,0,100,0,100,100,0,0,100
2022-05-24,0,100,100,100,0,0,100,100,0,0,0,0,0,100,0,0,0,100,100,100,0,100,0,100,100,0,0,100
2022-05-25,0,100,100,100,0,0,100,100,0,0,0,0,0,100,0,0,0,100,100,21,0,0,0,0,1,0,0,100
2022-05-26,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100
2022-05-27,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,100
2022-05-31,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,100
2022-06-01,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,100
2022-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
